budget,genres,original_language,revenue,runtime,title,director
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,2787965087,162.0,Avatar,['James Cameron']
300000000,"['Adventure', 'Fantasy', 'Action']",en,961000000,169.0,Pirates of the Caribbean: At World's End,['Gore Verbinski']
245000000,"['Action', 'Adventure', 'Crime']",en,880674609,148.0,Spectre,['Sam Mendes']
250000000,"['Action', 'Crime', 'Drama', 'Thriller']",en,1084939099,165.0,The Dark Knight Rises,['Christopher Nolan']
260000000,"['Action', 'Adventure', 'Science Fiction']",en,284139100,132.0,John Carter,['Andrew Stanton']
258000000,"['Fantasy', 'Action', 'Adventure']",en,890871626,139.0,Spider-Man 3,['Sam Raimi']
260000000,"['Animation', 'Family']",en,591794936,100.0,Tangled,"['Byron Howard', 'Nathan Greno']"
280000000,"['Action', 'Adventure', 'Science Fiction']",en,1405403694,141.0,Avengers: Age of Ultron,['Joss Whedon']
250000000,"['Adventure', 'Fantasy', 'Family']",en,933959197,153.0,Harry Potter and the Half-Blood Prince,['David Yates']
250000000,"['Action', 'Adventure', 'Fantasy']",en,873260194,151.0,Batman v Superman: Dawn of Justice,['Zack Snyder']
270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",en,391081192,154.0,Superman Returns,['Bryan Singer']
200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",en,586090727,106.0,Quantum of Solace,['Marc Forster']
200000000,"['Adventure', 'Fantasy', 'Action']",en,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,['Gore Verbinski']
255000000,"['Action', 'Adventure', 'Western']",en,89289910,149.0,The Lone Ranger,['Gore Verbinski']
225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,662845518,143.0,Man of Steel,['Zack Snyder']
225000000,"['Adventure', 'Family', 'Fantasy']",en,419651413,150.0,The Chronicles of Narnia: Prince Caspian,['Andrew Adamson']
220000000,"['Science Fiction', 'Action', 'Adventure']",en,1519557910,143.0,The Avengers,['Joss Whedon']
380000000,"['Adventure', 'Action', 'Fantasy']",en,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,['Rob Marshall']
225000000,"['Action', 'Comedy', 'Science Fiction']",en,624026776,106.0,Men in Black 3,['Barry Sonnenfeld']
250000000,"['Action', 'Adventure', 'Fantasy']",en,956019788,144.0,The Hobbit: The Battle of the Five Armies,['Peter Jackson']
215000000,"['Action', 'Adventure', 'Fantasy']",en,752215857,136.0,The Amazing Spider-Man,['Marc Webb']
200000000,"['Action', 'Adventure']",en,310669540,140.0,Robin Hood,['Ridley Scott']
250000000,"['Adventure', 'Fantasy']",en,958400000,161.0,The Hobbit: The Desolation of Smaug,['Peter Jackson']
180000000,"['Adventure', 'Fantasy']",en,372234864,113.0,The Golden Compass,['Chris Weitz']
207000000,"['Adventure', 'Drama', 'Action']",en,550000000,187.0,King Kong,['Peter Jackson']
200000000,"['Drama', 'Romance', 'Thriller']",en,1845034188,194.0,Titanic,['James Cameron']
250000000,"['Adventure', 'Action', 'Science Fiction']",en,1153304495,147.0,Captain America: Civil War,"['Anthony Russo', 'Joe Russo']"
