budget,genres,original_language,revenue,runtime,title,director
237000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,2787965087.0,162.0,Avatar,['James Cameron']
300000000.0,"['Adventure', 'Fantasy', 'Action']",en,961000000.0,169.0,Pirates of the Caribbean: At World's End,['Gore Verbinski']
245000000.0,"['Action', 'Adventure', 'Crime']",en,880674609.0,148.0,Spectre,['Sam Mendes']
250000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",en,1084939099.0,165.0,The Dark Knight Rises,['Christopher Nolan']
260000000.0,"['Action', 'Adventure', 'Science Fiction']",en,284139100.0,132.0,John Carter,['Andrew Stanton']
258000000.0,"['Fantasy', 'Action', 'Adventure']",en,890871626.0,139.0,Spider-Man 3,['Sam Raimi']
260000000.0,"['Animation', 'Family']",en,591794936.0,100.0,Tangled,"['Byron Howard', 'Nathan Greno']"
280000000.0,"['Action', 'Adventure', 'Science Fiction']",en,1405403694.0,141.0,Avengers: Age of Ultron,['Joss Whedon']
250000000.0,"['Adventure', 'Fantasy', 'Family']",en,933959197.0,153.0,Harry Potter and the Half-Blood Prince,['David Yates']
250000000.0,"['Action', 'Adventure', 'Fantasy']",en,873260194.0,151.0,Batman v Superman: Dawn of Justice,['Zack Snyder']
270000000.0,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",en,391081192.0,154.0,Superman Returns,['Bryan Singer']
200000000.0,"['Adventure', 'Action', 'Thriller', 'Crime']",en,586090727.0,106.0,Quantum of Solace,['Marc Forster']
200000000.0,"['Adventure', 'Fantasy', 'Action']",en,1065659812.0,151.0,Pirates of the Caribbean: Dead Man's Chest,['Gore Verbinski']
255000000.0,"['Action', 'Adventure', 'Western']",en,89289910.0,149.0,The Lone Ranger,['Gore Verbinski']
225000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,662845518.0,143.0,Man of Steel,['Zack Snyder']
225000000.0,"['Adventure', 'Family', 'Fantasy']",en,419651413.0,150.0,The Chronicles of Narnia: Prince Caspian,['Andrew Adamson']
220000000.0,"['Science Fiction', 'Action', 'Adventure']",en,1519557910.0,143.0,The Avengers,['Joss Whedon']
380000000.0,"['Adventure', 'Action', 'Fantasy']",en,1045713802.0,136.0,Pirates of the Caribbean: On Stranger Tides,['Rob Marshall']
225000000.0,"['Action', 'Comedy', 'Science Fiction']",en,624026776.0,106.0,Men in Black 3,['Barry Sonnenfeld']
250000000.0,"['Action', 'Adventure', 'Fantasy']",en,956019788.0,144.0,The Hobbit: The Battle of the Five Armies,['Peter Jackson']
215000000.0,"['Action', 'Adventure', 'Fantasy']",en,752215857.0,136.0,The Amazing Spider-Man,['Marc Webb']
200000000.0,"['Action', 'Adventure']",en,310669540.0,140.0,Robin Hood,['Ridley Scott']
250000000.0,"['Adventure', 'Fantasy']",en,958400000.0,161.0,The Hobbit: The Desolation of Smaug,['Peter Jackson']
180000000.0,"['Adventure', 'Fantasy']",en,372234864.0,113.0,The Golden Compass,['Chris Weitz']
207000000.0,"['Adventure', 'Drama', 'Action']",en,550000000.0,187.0,King Kong,['Peter Jackson']
200000000.0,"['Drama', 'Romance', 'Thriller']",en,1845034188.0,194.0,Titanic,['James Cameron']
250000000.0,"['Adventure', 'Action', 'Science Fiction']",en,1153304495.0,147.0,Captain America: Civil War,"['Anthony Russo', 'Joe Russo']"
209000000.0,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",en,303025485.0,131.0,Battleship,['Peter Berg']
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,1513528810.0,124.0,Jurassic World,['Colin Trevorrow']
200000000.0,"['Action', 'Adventure', 'Thriller']",en,1108561013.0,143.0,Skyfall,['Sam Mendes']
200000000.0,"['Action', 'Adventure', 'Fantasy']",en,783766341.0,127.0,Spider-Man 2,['Sam Raimi']
200000000.0,"['Action', 'Adventure', 'Science Fiction']",en,1215439994.0,130.0,Iron Man 3,['Shane Black']
200000000.0,"['Family', 'Fantasy', 'Adventure']",en,1025491110.0,108.0,Alice in Wonderland,['Tim Burton']
210000000.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,459359555.0,104.0,X-Men: The Last Stand,['Brett Ratner']
200000000.0,"['Animation', 'Family']",en,743559607.0,104.0,Monsters University,['Dan Scanlon']
150000000.0,"['Science Fiction', 'Action', 'Adventure']",en,836297228.0,150.0,Transformers: Revenge of the Fallen,['Michael Bay']
210000000.0,"['Science Fiction', 'Action', 'Adventure']",en,1091405097.0,165.0,Transformers: Age of Extinction,['Michael Bay']
200000000.0,"['Fantasy', 'Adventure', 'Family']",en,491868548.0,130.0,Oz: The Great and Powerful,['Sam Raimi']
200000000.0,"['Action', 'Adventure', 'Fantasy']",en,705717432.0,142.0,The Amazing Spider-Man 2,['Marc Webb']
170000000.0,"['Adventure', 'Action', 'Science Fiction']",en,400062763.0,125.0,TRON: Legacy,['Joseph Kosinski']
200000000.0,"['Animation', 'Family', 'Adventure', 'Comedy']",en,559852396.0,106.0,Cars 2,"['John Lasseter', 'Brad Lewis']"
200000000.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,219851172.0,114.0,Green Lantern,['Martin Campbell']
200000000.0,"['Animation', 'Family', 'Comedy']",en,1066969703.0,103.0,Toy Story 3,['Lee Unkrich']
200000000.0,"['Action', 'Science Fiction', 'Thriller']",en,371353001.0,115.0,Terminator Salvation,['McG']
190000000.0,['Action'],en,1506249360.0,137.0,Furious 7,['James Wan']
200000000.0,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",en,531865000.0,116.0,World War Z,['Marc Forster']
250000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,747862775.0,131.0,X-Men: Days of Future Past,['Bryan Singer']
190000000.0,"['Action', 'Adventure', 'Science Fiction']",en,467365246.0,132.0,Star Trek Into Darkness,['J.J. Abrams']
195000000.0,"['Action', 'Family', 'Fantasy']",en,197687603.0,114.0,Jack the Giant Slayer,['Bryan Singer']
105000000.0,"['Drama', 'Romance']",en,351040419.0,143.0,The Great Gatsby,['Baz Luhrmann']
150000000.0,"['Adventure', 'Fantasy', 'Action', 'Romance']",en,335154643.0,116.0,Prince of Persia: The Sands of Time,['Mike Newell']
180000000.0,"['Action', 'Science Fiction', 'Adventure']",en,407602906.0,131.0,Pacific Rim,['Guillermo del Toro']
195000000.0,"['Action', 'Science Fiction', 'Adventure']",en,1123746996.0,154.0,Transformers: Dark of the Moon,['Michael Bay']
185000000.0,"['Adventure', 'Action']",en,786636033.0,122.0,Indiana Jones and the Kingdom of the Crystal Skull,['Steven Spielberg']
175000000.0,"['Adventure', 'Animation', 'Family']",en,331926147.0,93.0,The Good Dinosaur,['Peter Sohn']
185000000.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",en,538983207.0,93.0,Brave,"['Brenda Chapman', 'Mark Andrews', 'Steve Purcell']"
185000000.0,"['Action', 'Adventure', 'Science Fiction']",en,343471816.0,122.0,Star Trek Beyond,['Justin Lin']
180000000.0,"['Animation', 'Family']",en,521311860.0,98.0,WALL·E,['Andrew Stanton']
140000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",en,258022233.0,91.0,Rush Hour 3,['Brett Ratner']
200000000.0,"['Action', 'Adventure', 'Science Fiction']",en,769653595.0,158.0,2012,['Roland Emmerich']
200000000.0,"['Animation', 'Drama']",en,325233863.0,96.0,A Christmas Carol,['Robert Zemeckis']
176000003.0,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",en,183987723.0,124.0,Jupiter Ascending,"['Lilly Wachowski', 'Lana Wachowski']"
180000000.0,"['Action', 'Adventure']",en,356743061.0,109.0,The Legend of Tarzan,['David Yates']
180000000.0,"['Adventure', 'Family', 'Fantasy']",en,748806957.0,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",['Andrew Adamson']
178000000.0,['Science Fiction'],en,543934787.0,144.0,X-Men: Apocalypse,['Bryan Singer']
185000000.0,"['Drama', 'Action', 'Crime', 'Thriller']",en,1004558444.0,152.0,The Dark Knight,['Christopher Nolan']
175000000.0,"['Animation', 'Comedy', 'Family', 'Adventure']",en,735099082.0,96.0,Up,['Pete Docter']
175000000.0,"['Animation', 'Family', 'Adventure', 'Science Fiction']",en,381509870.0,94.0,Monsters vs Aliens,"['Conrad Vernon', 'Rob Letterman']"
140000000.0,"['Action', 'Science Fiction', 'Adventure']",en,585174222.0,126.0,Iron Man,['Jon Favreau']
170000000.0,"['Adventure', 'Drama', 'Family']",en,185770160.0,126.0,Hugo,['Martin Scorsese']
170000000.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",en,222104681.0,106.0,Wild Wild West,['Barry Sonnenfeld']
145000000.0,"['Adventure', 'Action', 'Fantasy']",en,401128639.0,112.0,The Mummy: Tomb of the Dragon Emperor,['Rob Cohen']
175000000.0,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",en,745000000.0,123.0,Suicide Squad,['David Ayer']
175000000.0,"['Fantasy', 'Comedy', 'Family']",en,173000000.0,96.0,Evan Almighty,['Tom Shadyac']
178000000.0,"['Action', 'Science Fiction']",en,370541256.0,113.0,Edge of Tomorrow,['Doug Liman']
175000000.0,"['Adventure', 'Action']",en,264218220.0,135.0,Waterworld,['Kevin Reynolds']
175000000.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,302469017.0,118.0,G.I. Joe: The Rise of Cobra,['Stephen Sommers']
175000000.0,"['Drama', 'Comedy', 'Animation', 'Family']",en,857611174.0,94.0,Inside Out,['Pete Docter']
175000000.0,"['Family', 'Adventure', 'Drama', 'Fantasy']",en,966550600.0,106.0,The Jungle Book,['Jon Favreau']
200000000.0,"['Adventure', 'Action', 'Science Fiction']",en,623933331.0,124.0,Iron Man 2,['Jon Favreau']
170000000.0,"['Adventure', 'Fantasy', 'Drama']",en,396600000.0,127.0,Snow White and the Huntsman,['Rupert Sanders']
180000000.0,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",en,758539785.0,97.0,Maleficent,['Robert Stromberg']
170000000.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,710644566.0,130.0,Dawn of the Planet of the Apes,['Matt Reeves']
27000000.0,"['Action', 'Adventure', 'Science Fiction', 'Romance']",en,0.0,30.0,The Lovers,['Roland Joffé']
175000000.0,"['Drama', 'Action', 'Adventure', 'Fantasy']",en,150962475.0,119.0,47 Ronin,['Carl Rinsch']
170000000.0,"['Action', 'Adventure', 'Science Fiction']",en,714766572.0,136.0,Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']"
165000000.0,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",en,752600867.0,93.0,Shrek Forever After,['Mike Mitchell']
190000000.0,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",en,209154322.0,130.0,Tomorrowland,['Brad Bird']
165000000.0,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",en,652105443.0,102.0,Big Hero 6,"['Chris Williams', 'Don Hall']"
165000000.0,"['Family', 'Animation', 'Comedy', 'Adventure']",en,471222889.0,108.0,Wreck-It Ralph,['Rich Moore']
165000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",en,305875730.0,100.0,The Polar Express,['Robert Zemeckis']
165000000.0,"['Action', 'Adventure', 'Science Fiction']",en,389681935.0,120.0,Independence Day: Resurgence,['Roland Emmerich']
165000000.0,"['Fantasy', 'Adventure', 'Animation', 'Family']",en,494878759.0,98.0,How to Train Your Dragon,"['Chris Sanders', 'Dean DeBlois']"
200000000.0,"['Action', 'Thriller', 'Science Fiction']",en,435000000.0,109.0,Terminator 3: Rise of the Machines,['Jonathan Mostow']
170000000.0,"['Action', 'Science Fiction', 'Adventure']",en,773328629.0,121.0,Guardians of the Galaxy,['James Gunn']
165000000.0,"['Adventure', 'Drama', 'Science Fiction']",en,675120017.0,169.0,Interstellar,['Christopher Nolan']
160000000.0,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",en,825532764.0,148.0,Inception,['Christopher Nolan']
15000000.0,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",ja,77000000.0,120.0,Shin Godzilla,"['Hideaki Anno', 'Shinji Higuchi']"
250000000.0,"['Adventure', 'Fantasy', 'Action']",en,1021103568.0,169.0,The Hobbit: An Unexpected Journey,['Peter Jackson']
38000000.0,"['Action', 'Crime', 'Thriller']",en,207283925.0,106.0,The Fast and the Furious,['Rob Cohen']
150000000.0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",en,333932083.0,166.0,The Curious Case of Benjamin Button,['David Fincher']
160000000.0,"['Action', 'Science Fiction', 'Adventure']",en,353624124.0,132.0,X-Men: First Class,['Matthew Vaughn']
160000000.0,"['Action', 'Adventure', 'Science Fiction']",en,653428261.0,137.0,The Hunger Games: Mockingjay - Part 2,['Francis Lawrence']
150000000.0,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",en,215283742.0,109.0,The Sorcerer's Apprentice,['Jon Turteltaub']
160000000.0,"['Adventure', 'Action', 'Drama', 'Thriller']",en,181674817.0,99.0,Poseidon,['Wolfgang Petersen']
170000000.0,['Fantasy'],en,299370084.0,113.0,Alice Through the Looking Glass,['James Bobin']
160000000.0,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",en,798958165.0,93.0,Shrek the Third,"['Chris Miller', 'Raman Hui']"
160000000.0,"['Action', 'Adventure', 'Fantasy']",en,433677183.0,123.0,Warcraft,['Duncan Jones']
155000000.0,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",en,440603537.0,126.0,Terminator Genisys,['Alan Taylor']
155000000.0,"['Adventure', 'Family', 'Fantasy']",en,415686217.0,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,['Michael Apted']
140000000.0,"['History', 'Romance', 'War']",en,449220945.0,183.0,Pearl Harbor,['Michael Bay']
150000000.0,"['Adventure', 'Science Fiction', 'Action']",en,709709780.0,144.0,Transformers,['Michael Bay']
155000000.0,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",en,167298192.0,175.0,Alexander,['Oliver Stone']
150000000.0,"['Adventure', 'Fantasy', 'Family', 'Mystery']",en,938212738.0,138.0,Harry Potter and the Order of the Phoenix,['David Yates']
150000000.0,"['Adventure', 'Fantasy', 'Family']",en,895921036.0,157.0,Harry Potter and the Goblet of Fire,['Mike Newell']
150000000.0,"['Fantasy', 'Action']",en,624029371.0,92.0,Hancock,['Peter Berg']
150000000.0,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",en,585349010.0,101.0,I Am Legend,['Francis Lawrence']
150000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",en,474968763.0,115.0,Charlie and the Chocolate Factory,['Tim Burton']
150000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",en,623722818.0,111.0,Ratatouille,"['Jan Pinkava', 'Brad Bird']"
150000000.0,"['Action', 'Crime', 'Drama']",en,374218673.0,140.0,Batman Begins,['Christopher Nolan']
150000000.0,"['Family', 'Animation']",en,603900354.0,89.0,Madagascar: Escape 2 Africa,"['Eric Darnell', 'Tom McGrath']"
150000000.0,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",en,413106170.0,105.0,Night at the Museum: Battle of the Smithsonian,['Shawn Levy']
150000000.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,373062864.0,107.0,X-Men Origins: Wolverine,['Gavin Hood']
150000000.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,424988211.0,129.0,The Matrix Revolutions,"['Lilly Wachowski', 'Lana Wachowski']"
150000000.0,"['Animation', 'Adventure', 'Family']",en,1274219009.0,102.0,Frozen,"['Chris Buck', 'Jennifer Lee']"
150000000.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,738599701.0,138.0,The Matrix Reloaded,"['Lilly Wachowski', 'Lana Wachowski']"
170000000.0,"['Action', 'Adventure', 'Fantasy']",en,644571402.0,112.0,Thor: The Dark World,['Alan Taylor']
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,378858340.0,120.0,Mad Max: Fury Road,['George Miller']
150000000.0,"['Thriller', 'Mystery']",en,356613439.0,138.0,Angels & Demons,['Ron Howard']
150000000.0,"['Adventure', 'Fantasy', 'Action']",en,449326618.0,115.0,Thor,['Kenneth Branagh']
150000000.0,"['Animation', 'Family', 'Adventure', 'Comedy']",en,309979994.0,98.0,Bolt,"['Chris Williams', 'Byron Howard']"
150000000.0,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",en,292817841.0,88.0,G-Force,['Hoyt Yeatman']
150000000.0,['Adventure'],en,301000000.0,99.0,Wrath of the Titans,['Jonathan Liebesman']
150000000.0,"['Comedy', 'Fantasy']",en,245527149.0,113.0,Dark Shadows,['Tim Burton']
150000000.0,"['Action', 'Adventure', 'Thriller']",en,682330139.0,131.0,Mission: Impossible - Rogue Nation,['Christopher McQuarrie']
150000000.0,"['Drama', 'Horror', 'Thriller']",en,139789765.0,103.0,The Wolfman,['Joe Johnston']
150000000.0,"['Family', 'Animation', 'Adventure', 'Comedy']",en,287594577.0,91.0,Bee Movie,"['Steve Hickner', 'Simon J. Smith']"
150000000.0,"['Animation', 'Family']",en,665692281.0,91.0,Kung Fu Panda 2,['Jennifer Yuh Nelson']
150000000.0,"['Action', 'Adventure', 'Family', 'Fantasy']",en,318502923.0,103.0,The Last Airbender,['M. Night Shyamalan']
150000000.0,"['Adventure', 'Action', 'Thriller']",en,397850012.0,126.0,Mission: Impossible III,['J.J. Abrams']
150000000.0,"['Action', 'Drama', 'Thriller']",en,205366737.0,131.0,White House Down,['Roland Emmerich']
150000000.0,"['Adventure', 'Animation', 'Family']",en,38992758.0,88.0,Mars Needs Moms,['Simon Wells']
149000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",en,64459316.0,85.0,Flushed Away,"['David Bowers', 'Sam Fell']"
150000000.0,"['Adventure', 'Family', 'Fantasy']",en,128388320.0,111.0,Pan,['Joe Wright']
145000000.0,"['Animation', 'Adventure', 'Family']",en,272912430.0,92.0,Mr. Peabody & Sherman,['Rob Minkoff']
175000000.0,"['Adventure', 'Drama', 'War']",en,497409852.0,163.0,Troy,['Wolfgang Petersen']
145000000.0,"['Animation', 'Family']",en,746921274.0,93.0,Madagascar 3: Europe's Most Wanted,"['Conrad Vernon', 'Eric Darnell', 'Tom McGrath']"
140000000.0,"['Adventure', 'Action', 'Thriller']",en,431971116.0,133.0,Die Another Day,['Lee Tamahori']
144000000.0,"['Action', 'Fantasy', 'Comedy']",en,229147509.0,116.0,Ghostbusters,['Paul Feig']
140000000.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",en,553799566.0,151.0,Armageddon,['Michael Bay']
140000000.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",en,441818803.0,88.0,Men in Black II,['Barry Sonnenfeld']
70000000.0,"['Adventure', 'Action', 'Animation']",en,195735876.0,115.0,Beowulf,['Robert Zemeckis']
145000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,521170825.0,95.0,Kung Fu Panda 3,"['Jennifer Yuh Nelson', 'Alessandro Carloni']"
145000000.0,"['Action', 'Thriller', 'Adventure']",en,694713380.0,133.0,Mission: Impossible - Ghost Protocol,['Brad Bird']
145000000.0,"['Fantasy', 'Animation', 'Family']",en,306941670.0,97.0,Rise of the Guardians,['Peter Ramsey']
100000000.0,['Comedy'],en,202026112.0,90.0,Fun with Dick and Jane,['Dean Parisot']
140000000.0,"['Drama', 'Action', 'War', 'History']",en,456758981.0,154.0,The Last Samurai,['Edward Zwick']
140000000.0,"['Adventure', 'Drama', 'Action']",en,268031828.0,150.0,Exodus: Gods and Kings,['Ridley Scott']
150000000.0,"['Science Fiction', 'Action', 'Adventure']",en,385680446.0,127.0,Star Trek,['J.J. Abrams']
139000000.0,"['Fantasy', 'Action']",en,821708551.0,121.0,Spider-Man,['Sam Raimi']
145000000.0,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,609123048.0,102.0,How to Train Your Dragon 2,['Dean DeBlois']
140000000.0,['Fantasy'],en,150680864.0,127.0,Gods of Egypt,['Alex Proyas']
135000000.0,['Action'],en,76932943.0,121.0,Stealth,['Rob Cohen']
130000000.0,"['Action', 'Mystery', 'Science Fiction']",en,185258983.0,163.0,Watchmen,['Zack Snyder']
140000000.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",en,285444603.0,127.0,Lethal Weapon 4,['Richard Donner']
137000000.0,"['Drama', 'Action', 'Science Fiction']",en,245360480.0,138.0,Hulk,['Ang Lee']
130000000.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,371876278.0,110.0,G.I. Joe: Retaliation,['Jon M. Chu']
130000000.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",en,119269486.0,124.0,Sahara,['Breck Eisner']
137000000.0,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",en,85131830.0,106.0,Final Fantasy: The Spirits Within,"['Hironobu Sakaguchi', 'Motonori Sakakibara']"
140000000.0,"['Action', 'Adventure', 'Science Fiction']",en,370569774.0,124.0,Captain America: The First Avenger,['Joe Johnston']
135000000.0,"['Adventure', 'Action', 'Thriller']",en,361832400.0,128.0,The World Is Not Enough,['Michael Apted']
150000000.0,['Adventure'],en,212011111.0,138.0,Master and Commander: The Far Side of the World,['Peter Weir']
120000000.0,"['Adventure', 'Fantasy', 'Drama', 'Romance']",en,829000000.0,115.0,The Twilight Saga: Breaking Dawn - Part 2,['Bill Condon']
130000000.0,"['Animation', 'Comedy', 'Family']",en,150406466.0,100.0,Happy Feet Two,['George Miller']
150000000.0,"['Science Fiction', 'Action', 'Adventure']",en,163712074.0,114.0,The Incredible Hulk,['Louis Leterrier']
140000000.0,"['Adventure', 'Family', 'Fantasy']",en,183345589.0,120.0,The BFG,['Steven Spielberg']
135000000.0,"['Western', 'Drama', 'Adventure', 'Thriller']",en,532950503.0,156.0,The Revenant,['Alejandro González Iñárritu']
135000000.0,"['Animation', 'Family']",en,282570682.0,96.0,Turbo,['David Soren']
135000000.0,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",en,245724603.0,107.0,Rango,['Gore Verbinski']
