age,player_height_inches,player_weight,team
23.0,78,179,Dallas Mavericks
24.0,76,190,Milwaukee Bucks
20.0,78,220,Atlanta Hawks
28.0,80,235,Denver Nuggets
27.0,72,185,Houston Rockets
24.0,78,215,Indiana Pacers
25.0,77,190,Oklahoma City Thunder
24.0,75,180,Oklahoma City Thunder
22.0,81,245,Chicago Bulls
27.0,77,241,Orlando Magic
38.0,81,240,Boston Celtics
32.0,77,214,New York Knicks
22.0,84,210,Charlotte Hornets
30.0,77,186,Chicago Bulls
21.0,80,200,Dallas Mavericks
31.0,84,250,Sacramento Kings
25.0,76,210,Miami Heat
21.0,83,243,Houston Rockets
20.0,75,185,Charlotte Hornets
21.0,79,200,Houston Rockets
27.0,79,210,Los Angeles Clippers
30.0,83,279,Chicago Bulls
22.0,78,209,Milwaukee Bucks
24.0,77,200,Chicago Bulls
24.0,76,191,Indiana Pacers
29.0,79,197,Golden State Warriors
25.0,75,193,Portland Trail Blazers
20.0,79,200,Orlando Magic
31.0,82,253,Los Angeles Lakers
22.0,76,225,Minnesota Timberwolves
31.0,80,230,Washington Wizards
26.0,75,195,Brooklyn Nets
24.0,75,190,Portland Trail Blazers
21.0,78,205,Detroit Pistons
26.0,77,197,Los Angeles Lakers
24.0,77,200,Chicago Bulls
26.0,81,255,Miami Heat
22.0,78,190,Indiana Pacers
27.0,82,240,Brooklyn Nets
22.0,77,210,Indiana Pacers
19.0,80,195,Washington Wizards
31.0,80,255,Oklahoma City Thunder
21.0,75,185,San Antonio Spurs
35.0,88,290,Houston Rockets
29.0,82,250,Milwaukee Bucks
31.0,77,225,Atlanta Hawks
35.0,79,226,New York Knicks
24.0,87,220,Phoenix Suns
23.0,74,169,Los Angeles Clippers
31.0,76,207,Phoenix Suns
21.0,76,205,Golden State Warriors
22.0,78,188,Los Angeles Clippers
27.0,80,215,Memphis Grizzlies
26.0,80,190,New Orleans Pelicans
21.0,79,200,Charlotte Hornets
24.0,73,190,Dallas Mavericks
27.0,80,225,Denver Nuggets
20.0,77,235,Utah Jazz
36.0,85,282,Milwaukee Bucks
27.0,76,202,Toronto Raptors
25.0,81,240,Atlanta Hawks
21.0,78,175,Charlotte Hornets
24.0,77,205,Detroit Pistons
31.0,76,220,Philadelphia 76ers
32.0,75,190,New Orleans Pelicans
22.0,78,220,Detroit Pistons
21.0,80,205,Orlando Magic
28.0,77,205,Miami Heat
24.0,79,217,Los Angeles Lakers
22.0,75,210,Brooklyn Nets
19.0,79,230,Houston Rockets
28.0,80,210,Brooklyn Nets
29.0,75,183,Philadelphia 76ers
29.0,78,205,Cleveland Cavaliers
20.0,75,195,Oklahoma City Thunder
29.0,79,230,San Antonio Spurs
23.0,82,230,San Antonio Spurs
27.0,78,199,New York Knicks
22.0,85,208,Oklahoma City Thunder
27.0,82,225,Detroit Pistons
31.0,81,200,Toronto Raptors
27.0,77,190,Sacramento Kings
20.0,78,220,Milwaukee Bucks
39.0,72,175,Golden State Warriors
23.0,78,220,Denver Nuggets
28.0,80,214,Los Angeles Lakers
25.0,79,229,Orlando Magic
30.0,82,256,Atlanta Hawks
24.0,77,195,Chicago Bulls
28.0,78,205,Charlotte Hornets
31.0,83,240,New Orleans Pelicans
22.0,78,207,Sacramento Kings
24.0,74,185,Orlando Magic
25.0,80,220,Miami Heat
24.0,82,250,Los Angeles Lakers
25.0,73,195,Denver Nuggets
25.0,75,190,Utah Jazz
25.0,78,224,Washington Wizards
