date,visitor,v_pts,home,h_pts,home_win,elo,bmi,age,rk,streak,time_diff
Tue Oct 24 2023,Los Angeles Lakers,107,Denver Nuggets,119,1,0.0,0.36,0.53,6,0.0,0.0
Tue Oct 24 2023,Phoenix Suns,108,Golden State Warriors,104,0,0.0,-1.15,-0.5,-15,0.0,0.0
Wed Oct 25 2023,Houston Rockets,86,Orlando Magic,116,1,0.0,-0.16,-1.35,-2,0.0,0.0
Wed Oct 25 2023,Boston Celtics,108,New York Knicks,104,0,0.0,0.5,0.69,7,0.0,0.0
Wed Oct 25 2023,Washington Wizards,120,Indiana Pacers,143,1,0.0,0.14,0.72,-11,0.0,0.0
Wed Oct 25 2023,Atlanta Hawks,110,Charlotte Hornets,116,1,0.0,-0.79,-0.51,24,0.0,0.0
Wed Oct 25 2023,Detroit Pistons,102,Miami Heat,103,1,0.0,-0.05,2.48,1,0.0,0.0
Wed Oct 25 2023,Minnesota Timberwolves,94,Toronto Raptors,97,1,0.0,-0.32,-0.28,11,0.0,0.0
Wed Oct 25 2023,Cleveland Cavaliers,114,Brooklyn Nets,113,0,0.0,-0.05,-1.78,-5,0.0,0.0
Wed Oct 25 2023,New Orleans Pelicans,111,Memphis Grizzlies,104,0,0.0,-0.65,-0.27,-6,0.0,0.0
Wed Oct 25 2023,Oklahoma City Thunder,124,Chicago Bulls,104,0,0.0,0.61,1.28,17,0.0,0.0
Wed Oct 25 2023,Sacramento Kings,130,Utah Jazz,114,0,0.0,0.87,-2.48,6,0.0,0.0
Wed Oct 25 2023,Dallas Mavericks,126,San Antonio Spurs,119,0,0.0,-0.03,-2.39,7,0.0,0.0
Wed Oct 25 2023,Portland Trail Blazers,111,Los Angeles Clippers,123,1,0.0,0.25,4.3,-1,0.0,0.0
Thu Oct 26 2023,Philadelphia 76ers,117,Milwaukee Bucks,118,1,0.0,0.48,0.35,-6,0.0,0.0
Thu Oct 26 2023,Phoenix Suns,95,Los Angeles Lakers,100,1,-24.0,-1.14,-1.86,-11,0.0,0.0
Fri Oct 27 2023,Denver Nuggets,108,Memphis Grizzlies,104,0,-24.0,-0.87,-1.48,-3,0.0,1.0
Fri Oct 27 2023,Detroit Pistons,111,Charlotte Hornets,99,0,24.0,-1.02,0.13,-2,0.0,0.0
Fri Oct 27 2023,New York Knicks,126,Atlanta Hawks,120,0,0.0,-0.63,-1.6,-8,0.0,0.0
Fri Oct 27 2023,Oklahoma City Thunder,108,Cleveland Cavaliers,105,0,0.0,0.52,1.44,20,0.0,0.0
Fri Oct 27 2023,Miami Heat,111,Boston Celtics,119,1,0.0,-0.06,-0.93,-26,0.0,0.0
Fri Oct 27 2023,Toronto Raptors,103,Chicago Bulls,104,1,-24.0,0.42,0.54,-2,0.0,0.0
Fri Oct 27 2023,Houston Rockets,122,San Antonio Spurs,126,1,0.0,-0.62,-2.85,-5,0.0,0.0
Fri Oct 27 2023,Brooklyn Nets,120,Dallas Mavericks,125,1,24.0,-0.14,1.01,-4,0.0,0.0
Fri Oct 27 2023,Los Angeles Clippers,118,Utah Jazz,120,1,-24.0,0.39,-4.56,-11,0.0,0.0
Fri Oct 27 2023,Orlando Magic,102,Portland Trail Blazers,97,0,-24.0,-0.44,-0.53,-7,0.0,0.0
Fri Oct 27 2023,Golden State Warriors,122,Sacramento Kings,114,0,24.0,-0.32,-1.19,-1,0.0,1.0
Sat Oct 28 2023,Chicago Bulls,102,Detroit Pistons,118,1,0.0,-0.2,-1.58,7,0.0,0.0
Sat Oct 28 2023,Memphis Grizzlies,106,Washington Wizards,113,1,11.0,0.12,-0.74,12,0.0,-2.0
Sat Oct 28 2023,New York Knicks,87,New Orleans Pelicans,96,1,12.0,-0.23,-1.32,4,0.0,-2.0
Sat Oct 28 2023,Indiana Pacers,125,Cleveland Cavaliers,113,0,-12.0,0.34,1.11,15,0.0,2.0
Sat Oct 28 2023,Philadelphia 76ers,114,Toronto Raptors,107,0,11.0,0.04,-2.38,10,0.0,1.0
Sat Oct 28 2023,Miami Heat,90,Minnesota Timberwolves,106,1,-12.0,0.15,-1.16,-17,0.0,-2.0
Sat Oct 28 2023,Utah Jazz,104,Phoenix Suns,126,1,-2.0,0.6,4.17,10,0.0,-1.0
Sun Oct 29 2023,Denver Nuggets,128,Oklahoma City Thunder,95,0,1.0,-0.79,-1.84,-7,0.0,0.0
Sun Oct 29 2023,Golden State Warriors,106,Houston Rockets,95,0,-25.0,0.51,-1.54,26,0.0,0.0
