PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1630639,A.J. Lawson,1610612761,TOR,24.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,18,148,54,16,-1.9,0.031,0.113,0.188,0.504,0.075
1631260,AJ Green,1610612749,MIL,25.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,66,486,150,97,3.4,0.011,0.084,0.126,0.61,0.087
1642358,AJ Johnson,1610612764,WAS,20.0,6-5,77,160,None,USA,2024,1,23,20,113,40,47,-3.6,0.017,0.095,0.162,0.502,0.21
203932,Aaron Gordon,1610612743,DEN,29.0,6-8,80,235,Arizona,USA,2014,1,4,45,626,219,139,9.1,0.059,0.115,0.182,0.649,0.142
1628988,Aaron Holiday,1610612745,HOU,28.0,6-0,72,185,UCLA,USA,2018,1,23,55,287,68,69,5.7,0.015,0.071,0.16,0.582,0.138
1630174,Aaron Nesmith,1610612754,IND,25.0,6-6,78,215,Vanderbilt,USA,2020,1,14,37,426,140,50,9.7,0.031,0.115,0.165,0.658,0.07
1630598,Aaron Wiggins,1610612760,OKC,26.0,6-5,77,190,Maryland,USA,2021,2,55,70,819,264,119,14.5,0.048,0.109,0.195,0.598,0.099
1641745,Adam Flagler,1610612760,OKC,25.0,6-3,75,180,Baylor,USA,Undrafted,Undrafted,Undrafted,31,44,17,8,-2.8,0.036,0.073,0.223,0.306,0.096
1641766,Adama Sanogo,1610612741,CHI,23.0,6-9,81,245,Connecticut,Mali,Undrafted,Undrafted,Undrafted,4,8,6,1,-18.1,0.217,0.053,0.145,0.571,0.067
1641737,Adem Bona,1610612755,PHI,22.0,6-10,82,235,UCLA,Nigeria,2024,2,41,49,199,168,20,-3.8,0.099,0.163,0.116,0.696,0.044
1642349,Ajay Mitchell,1610612760,OKC,22.0,6-5,77,190,California-Santa Barbara,Belgium,2024,2,38,34,218,67,57,9.1,0.028,0.086,0.155,0.604,0.146
